architecture,num_params,output_feature,mapes_nn,mapes_proj,rmses_nn,rmses_proj
"[56, 56, 56, 56]",10752,0,14.268022128892929,5.160364026957437,0.011357869195315746,0.004651903030160299
"[65, 65, 65, 65]",14235,4,13.449473670115983,4.1785630123656325,0.015741421967514494,0.024049923982949018
"[65, 65, 65, 65]",14235,16,1.8725520761097676,0.6828463266065208,0.013163428025710047,0.008446006460067068
"[65, 65, 65, 65]",14235,0,7.2270250037858865,3.1422260579499532,0.009941975982707045,0.0038922041674881963
"[76, 76, 76, 76]",19152,0,11.262352600666006,4.690712066555312,0.007863791466188772,0.0036834109476382936
"[76, 76, 76, 76]",19152,4,8.724017710368718,6.34053247871614,0.014938293518296527,0.023022254432874114
"[76, 76, 76, 76]",19152,16,2.1368502824180435,0.8829204844781398,0.012324807413446682,0.00726122790126533
"[89, 89, 89, 89]",25899,0,8.770240506718242,5.1664449596472,0.007987259080607852,0.0036798806876135403
"[89, 89, 89, 89]",25899,4,5.099343792654577,3.6058596156107403,0.01394999981365395,0.022603414263373655
"[89, 89, 89, 89]",25899,16,1.787440339229152,0.7149099480110013,0.013803836739621255,0.008720679402673322
"[104, 104, 104, 104]",34944,0,12.779232079455195,3.817913058690587,0.009135556899746017,0.0036238244011276032
"[104, 104, 104, 104]",34944,4,9.43988984203929,7.691954567184286,0.01725551439331543,0.02509124494426329
"[104, 104, 104, 104]",34944,16,1.9652817668947227,0.8068439779688364,0.012856844275060703,0.008097933327538455
"[122, 122, 122, 122]",47580,0,8.985659548098516,2.7137792063841504,0.008042382965117714,0.0031456706754352712
"[122, 122, 122, 122]",47580,4,6.871036298221185,2.95211746661478,0.015923692808927657,0.022864401239741518
"[122, 122, 122, 122]",47580,16,1.5752165726615468,0.6432082765769773,0.012159481976808348,0.00824512782240779
"[143, 143, 143, 143]",64779,4,2.8366298022952834,2.094712775567794,0.013710080085562164,0.023696208695512914
"[143, 143, 143, 143]",64779,16,1.5448085015713362,0.6908942860528239,0.011016012964959297,0.0074138853962482055
"[143, 143, 143, 143]",64779,0,7.9618267861016525,3.15401197191916,0.006559562049108663,0.002877355011934177
"[167, 167, 167, 167]",87675,0,6.887690039093059,3.621465012494761,0.006357910437192806,0.0030282593796547557
"[167, 167, 167, 167]",87675,4,10.966243994848245,6.762581159677186,0.01490913126809333,0.023034233624505518
"[167, 167, 167, 167]",87675,16,1.9672320916766814,0.8022358065258697,0.013518826822793746,0.008241605621560653
"[195, 195, 195, 195]",118755,0,8.318458609319592,2.6021638803938942,0.0066805685354702545,0.002871907853191027
"[195, 195, 195, 195]",118755,4,6.232686998210599,4.586194607928237,0.012859689457617797,0.023342560199069422
"[195, 195, 195, 195]",118755,16,1.5225111223695051,0.6770662411120073,0.012757177766327328,0.007894909756107907
"[227, 227, 227, 227]",160035,4,5.316156474584973,3.228241613833628,0.013364252309000669,0.022932715082599545
"[227, 227, 227, 227]",160035,0,6.728727874444103,2.824600280697436,0.00569632526429292,0.0025652297153198832
"[227, 227, 227, 227]",160035,16,1.5666801761384095,0.7211456121773149,0.01203272860495649,0.007381084066711759
"[266, 266, 266, 266]",218652,0,6.492017912408775,1.7304734137549116,0.00530442360056293,0.0024929935821227074
"[266, 266, 266, 266]",218652,4,5.323606409872023,3.9606358403542945,0.014188473304266579,0.024014725954826222
"[266, 266, 266, 266]",218652,16,1.4650881586906304,0.6583394690424799,0.010220782377449526,0.007551822757685614
"[310, 310, 310, 310]",295740,4,6.523644254474262,3.6039504465344265,0.013624706322098317,0.023328346023428377
"[310, 310, 310, 310]",295740,16,1.322361037643819,0.5911885984713111,0.010177373417566539,0.006946210302866936
"[310, 310, 310, 310]",295740,0,3.6539032597113055,1.814365823999379,0.00441537934862164,0.002532572019387492
"[363, 363, 363, 363]",404019,16,1.0870467908606403,0.4858029453048292,0.010240632890864524,0.006984576017526646
"[363, 363, 363, 363]",404019,0,4.19783986306294,2.182259065969855,0.0050704953667605,0.0023269928265374938
"[363, 363, 363, 363]",404019,4,3.4135738048010635,2.9356676493265796,0.012745628153684045,0.023259719115502443
"[423, 423, 423, 423]",546939,0,3.4177859525420664,1.8724574608763853,0.004255098105180986,0.002092191790625288
"[423, 423, 423, 423]",546939,4,2.7793754899045573,2.921559889560425,0.011883490121605689,0.023716249006978555
"[423, 423, 423, 423]",546939,16,1.0398630765961794,0.5217958349259303,0.009907185739798886,0.007472455156951779
"[495, 495, 495, 495]",746955,0,3.132352118716289,2.061104496301921,0.003954601206667046,0.0018921443860427205
"[495, 495, 495, 495]",746955,4,1.5967188558564178,1.7580225632183404,0.011766630282745381,0.023902791264188976
"[495, 495, 495, 495]",746955,16,0.7521819086895063,0.3441813827060118,0.009172476727585584,0.006921860017538551
"[578, 578, 578, 578]",1016124,0,3.0737521669118686,1.4164835607371902,0.003942539383540826,0.001998719969200896
"[578, 578, 578, 578]",1016124,4,7.338911467268564,4.671158603963474,0.011013389253259499,0.023881266583647476
"[578, 578, 578, 578]",1016124,16,0.9408821621439127,0.40995452330276755,0.009428833800060427,0.006939210937301071
"[675, 675, 675, 675]",1383075,0,2.5483063692513843,0.7092139599444007,0.002693731336795582,0.0016447356002959913
"[675, 675, 675, 675]",1383075,4,7.79230396669397,4.599836809500193,0.01106428406516999,0.023988774643226785
"[675, 675, 675, 675]",1383075,16,0.7316771560775833,0.40874601903311747,0.00798381012111729,0.0065592278981062725
"[788, 788, 788, 788]",1881744,16,0.8447156442786464,0.4064982671456664,0.008158677657347777,0.006215737174240128
"[788, 788, 788, 788]",1881744,0,2.5877023271828934,1.3770590814362458,0.0033486724145088023,0.0018041615340116176
"[788, 788, 788, 788]",1881744,4,3.871583169446717,2.5038787115760717,0.011187221830834496,0.024145619441938816
"[920, 920, 920, 920]",2561280,0,3.0297625321340407,2.0453981047345002,0.003808949077160544,0.0017463171696997443
"[920, 920, 920, 920]",2561280,4,4.997444084859602,3.599150853108124,0.011324989390509538,0.023682121557104224
"[920, 920, 920, 920]",2561280,16,0.8274504717605528,0.5140921641276872,0.007794666715398388,0.006334695054469256
"[1075, 1075, 1075, 1075]",3492675,0,2.52747805530876,1.6479601169509954,0.003009135017938498,0.001754586094959746
"[1075, 1075, 1075, 1075]",3492675,4,5.66575862185344,2.8180948568341733,0.009287644393089508,0.023715464676325182
"[1075, 1075, 1075, 1075]",3492675,16,0.8153861529370036,0.44493381138944377,0.00806782697795695,0.0064021344557050825
"[1255, 1255, 1255, 1255]",4755195,0,2.91231046473177,1.566435853639937,0.00325110405120658,0.0018807992239316532
"[1255, 1255, 1255, 1255]",4755195,4,7.295212198700556,4.508268447994059,0.011930463637439395,0.024533650303306485
"[1255, 1255, 1255, 1255]",4755195,16,0.9634867174818768,0.45181115050836745,0.008337730462496482,0.006618325924725697
"[1466, 1466, 1466, 1466]",6482652,4,1.3120981825058515,2.258759170935579,0.010021789882211958,0.024366519568178844
"[1466, 1466, 1466, 1466]",6482652,0,3.117992848720148,0.9450522375911448,0.0034122107254395025,0.0015811838470352352
"[1466, 1466, 1466, 1466]",6482652,16,0.8011948133485505,0.3906873665232724,0.007941085491116441,0.006555497174077945
"[1712, 1712, 1712, 1712]",8833920,4,3.1306259538278933,1.8315881288065943,0.009689672119662483,0.024469655140481907
"[1712, 1712, 1712, 1712]",8833920,0,2.0821762682622187,1.2456510258241678,0.0033520734582142982,0.001683721525180212
"[1712, 1712, 1712, 1712]",8833920,16,0.9747492738544092,0.42162651593308,0.008395408051501779,0.006720204405581003
"[2000, 2000, 2000, 2000]",12048000,4,3.9342058972000085,3.2425455156144776,0.009595694317745226,0.024699263872603898
"[2000, 2000, 2000, 2000]",12048000,0,1.4003941411759901,0.6309432076430458,0.002994948807232059,0.0014793314769067163
"[2000, 2000, 2000, 2000]",12048000,16,0.7003953514101559,0.34906543425089037,0.007928224849137999,0.006559620224371665
