architectures,num_params,mapes_nn,uncertanties_mape_nn,mapes_proj,uncertanties_mape_proj,rmses_nn,uncertanties_rmse_nn,rmses_proj,uncertanties_rmse_proj
"[69, 69, 69, 69]",15939,15.698792663560814,85.88117732789719,15.08680950359205,85.36789402204872,0.019027179953152173,0.0017811365071983701,0.01860837868734407,0.001967489388580696
"[87, 87, 87, 87]",24795,19.888388375354214,216.4347461294542,19.69997843597822,216.43277544730043,0.014137866039335742,0.0010820091164752497,0.013862118228550767,0.0012482361523760209
"[109, 109, 109, 109]",38259,15.318414820779324,82.66840279414492,14.990896560890501,82.67350986593888,0.020693183977871846,0.0025676052378469203,0.020424254360536753,0.0026939821424897437
"[136, 136, 136, 136]",58752,19.674899731784365,175.38935469100005,18.764355375809323,175.03569421484562,0.017874214636455818,0.001988469889380703,0.017488391817312116,0.002120883909127783
"[171, 171, 171, 171]",91827,21.55649883207961,158.15785890708776,21.244280881662544,158.12248810146147,0.018881667972831494,0.0013924767744107227,0.018136505698998703,0.0015673670219466646
"[213, 213, 213, 213]",141219,19.92350224596134,175.16836463574913,19.33128631523666,175.0173230417402,0.021630617186141298,0.002226745629584285,0.020965278279037453,0.0023302491819248744
"[267, 267, 267, 267]",220275,16.26506203055315,89.76130869339788,15.663339664490895,89.50036215037514,0.027679862695524696,0.003523524488679585,0.027467083070313814,0.0035614759208271087
"[334, 334, 334, 334]",342684,20.727436188887616,111.87760709429519,20.115991830367566,111.63485715233455,0.027151339727411978,0.0028662103140350143,0.026774055302492137,0.0029298965997888375
"[451, 315, 498, 262]",436744,18.697211635902956,79.11614718112787,18.501211290518405,78.70945111172632,0.03564994820811672,0.005098589162907752,0.03550330170513813,0.005135572904703308
"[418, 418, 418, 418]",534204,18.617819528067425,125.64457299413864,18.098471580404524,126.48055680831156,0.032238098938164414,0.004784226596953428,0.030974149860628405,0.00483980245834185
"[522, 522, 522, 522]",829980,28.575801718576283,182.19791456758014,27.9954398736722,180.86620350735677,0.029319662736089325,0.0025813003724137924,0.028280206318758504,0.0025802718496856503
"[654, 654, 654, 654]",1298844,30.029940014960875,231.58782828324692,28.40332692798934,231.5254823073053,0.03527457830716533,0.00517046020086876,0.03436806402738546,0.005225626790776143
"[817, 817, 817, 817]",2022075,6.737326975703772,46.17137182972629,6.644701317663072,46.27041449211188,0.009608003939763708,0.001317877929340435,0.009869558931550115,0.0013982922907698097
"[1022, 1022, 1022, 1022]",3157980,19.656542485586638,97.70322890143859,18.984249355648608,97.42645217605889,0.025553250542510786,0.0027928240568816007,0.024497854925627414,0.0029286053602386474
"[1278, 1278, 1278, 1278]",4930524,41.66271008937328,218.52669548630513,40.02373946544048,217.72049693953113,0.04641661971011131,0.0049785059658700006,0.04361769507833871,0.005483612035116883
"[1599, 1599, 1599, 1599]",7708779,22.5651686035542,82.17819877081538,22.232381826256514,81.87473246337136,0.03667060297049898,0.0014126219092077982,0.03530035300447442,0.0018740476924333847
"[2000, 2000, 2000, 2000]",12048000,28.815740406387754,108.35694212566194,25.440846819128822,101.9989028850833,0.05093051433131821,0.005537608167862725,0.048817837881615915,0.006108807995894995
