architecture,num_params,output_feature,mapes_nn,mapes_proj,rmses_nn,rmses_proj
[162],3402,4,20.390230229101427,6.2989231129153875,0.09009204368461558,0.043817515808273325
[162],3402,16,27.42503193252354,8.95192665512729,0.08868042903086301,0.04207566183545733
[177],3717,0,13.692396107470428,9.809807573251975,0.016009924855379852,0.013697628785498623
[177],3717,4,20.27247053112145,6.601532654948586,0.08737370579074884,0.042723383501623746
[177],3717,16,26.338560137629607,8.557115125221147,0.08619311517888767,0.041000094939133494
[191],4011,0,15.744336381853563,13.152842805921264,0.01693515671467937,0.01375020465256075
[191],4011,4,19.691327529108978,6.580055094512477,0.08555453774561805,0.04224386814476061
[191],4011,16,26.691229590398002,8.781959968830387,0.08511544597041477,0.04057368776627893
[206],4326,4,19.174681072902345,6.435253496644994,0.08485081641523781,0.04170632417456868
[206],4326,16,26.704155870687856,8.80684864461813,0.08357647246721883,0.04001836741394371
[206],4326,0,12.113913518005806,7.635755909527843,0.015606710154905263,0.013353102551165265
[221],4641,4,19.966287527677665,6.54028477329516,0.08504693708774214,0.041851788510152615
[221],4641,16,26.855879458273385,9.04763378118938,0.08425179213781572,0.04014757798379727
[221],4641,0,8.497857071030841,11.249566417784894,0.01569341768305751,0.013286250078352988
[235],4935,0,12.454090545996554,9.29838566360052,0.014968104440027667,0.013158317205229317
[235],4935,4,20.09485452535018,6.6930391013737625,0.0854711278108945,0.04206217645620859
[235],4935,16,27.077536012138527,8.889195139127102,0.08531800304441187,0.04041030576928066
[250],5250,0,12.639449259308947,7.5135350758764545,0.01546993906849537,0.013296113652577941
[250],5250,4,19.555178486661326,6.4049116462306985,0.08434679347389654,0.04158870246694947
[250],5250,16,26.52421612722789,8.77463403119523,0.08423132893431114,0.03995724045925359
[265],5565,0,13.491722426110286,7.104429018576605,0.015382206645721529,0.0130676554812786
[265],5565,4,20.053640401681776,6.7742691610682595,0.08350554402944148,0.04123626427565534
[265],5565,16,26.568564958543373,9.151186787576913,0.0832598498495089,0.03964013796819729
[279],5859,0,12.781622695901307,7.646563290051921,0.015101242612894627,0.013359098949577116
[279],5859,4,19.31073543764491,6.402022173493724,0.08619636859890259,0.042439810395367795
[279],5859,16,27.47785172318686,8.877734293990473,0.08608746656271224,0.040728133458989575
[294],6174,16,26.425937125858656,9.059855052376303,0.08211239274566708,0.03906839971086091
[294],6174,4,19.778104847985833,6.713020600401544,0.08244388128930372,0.040667299525761376
[294],6174,0,8.778724789320744,7.274969088063959,0.014959080019322784,0.012724906483642839
[309],6489,0,10.67648044077105,9.107305849338472,0.015261330227151591,0.013021572851649463
[309],6489,4,19.987024085173093,6.658844929554722,0.0840296153179937,0.04125916614351956
[309],6489,16,27.337172261714798,9.178814134382655,0.0836955911874792,0.039625299267193693
[323],6783,0,12.875324012305589,8.874855011480182,0.015558391087271575,0.01332545433118663
[323],6783,4,20.25500483182072,6.708828199514157,0.08541284801530138,0.0418203246327179
[323],6783,16,27.772178542431885,9.30831048575837,0.08518816473358232,0.0402917786117286
[338],7098,0,11.504384764897253,7.179520673172391,0.015081870730563815,0.01332129123822062
[338],7098,4,19.93510599801886,6.522208910062538,0.08408080221616789,0.041368613435269735
[338],7098,16,26.9725265665211,9.078348999939772,0.08327025900977349,0.039608795184432874
[353],7413,0,12.280235003385979,8.955910924946812,0.01502145462018691,0.01323328282678996
[353],7413,4,19.954570802313455,6.469128150206756,0.08318669773803475,0.04121453345243825
[353],7413,16,26.959470713125278,9.008165120634647,0.08331692546750892,0.039589886590905225
[367],7707,16,27.776537598897377,9.266081949546878,0.08490696831472698,0.04027819372536849
[367],7707,0,17.032567714470563,8.16898919132315,0.015339509925626521,0.01339717291718075
[367],7707,4,20.397843127697747,6.576888447211035,0.08558984546517766,0.04193174396177859
[382],8022,0,9.112784779894575,8.109331051875554,0.014997489332431961,0.013123202523487754
[382],8022,4,19.97090227162314,6.472682650307885,0.08396243949817028,0.04147904822573934
[382],8022,16,27.75818210338431,9.308164550144692,0.08420576679861128,0.039744307319022995
[397],8337,0,9.890236042074898,7.593188444148259,0.015010606070708848,0.012932297708136491
[397],8337,4,20.548484816927726,6.718197929316881,0.08414134810897951,0.041125312899845286
[397],8337,16,27.669685820352026,9.188817362886553,0.08400148641150666,0.03947549087822377
[411],8631,0,9.607952473684318,8.03544155214022,0.01484967404250802,0.013079780853725667
[411],8631,4,19.976050287563858,6.587654642764641,0.08392252245079049,0.0413993890667238
[411],8631,16,27.434625970257787,8.941248554241534,0.08384182816339038,0.039825544943623496
[426],8946,16,28.347676722286412,9.415329823400228,0.0858839204530994,0.040537093238169175
[426],8946,0,7.298016917032389,7.877711227461343,0.015577017814586043,0.013748528830758009
[426],8946,4,20.262914019299405,6.542731917024737,0.08677412532121272,0.04232060915705974
[441],9261,0,12.048297380413366,7.5345760811791065,0.015612906622596767,0.013337874191098595
[441],9261,4,19.97117174132635,6.431494561982235,0.08667615628020608,0.04224882021043935
[441],9261,16,28.451957356450496,9.332958371826004,0.08583222394742808,0.04047651546079643
[455],9555,0,9.468534434094392,7.25523194286427,0.014680114903101667,0.01276038018407089
[455],9555,4,19.211131902207406,6.312624252405037,0.08336839785846822,0.04094512262002032
[455],9555,16,27.186152872465907,9.163597662779408,0.0822090237641169,0.0391880830578768
[470],9870,4,19.794251480198135,6.511470332708112,0.08417959732927675,0.04102512431547825
[470],9870,0,9.221014338612395,7.63422345974888,0.014080953698146168,0.012928216737651418
[470],9870,16,28.04759087019786,9.225297324757799,0.0837184010777787,0.03928544429089648
[485],10185,4,20.049303399750713,6.398474166630362,0.08400621371781147,0.041338907685098465
[485],10185,0,8.442967857558575,6.926225181101637,0.014793766115300823,0.012875108283194965
[485],10185,16,27.199992897193976,9.013828818385079,0.08408159677306364,0.03960491697843396
[500],10500,4,20.218526421529994,6.544933654056324,0.08355365110196115,0.040868479146483616
[500],10500,0,11.077001267341952,8.896101666695614,0.01438125998108069,0.012722223683676521
[500],10500,16,28.09431852956038,9.43406513585152,0.08233068819150972,0.03903237298405057
