lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[0.22988506 0.22988506 0.22988506],8.60282038745632249e-01,1.74426807117939800e-02,7.27451329273407898e-03,1.80141255927828418e-04,8.58024431172024982e-01,1.74068759980576873e-02,5.84037552786671021e-01,3.94639759551955981e-03,3.07996881338379236e+00,7.39616189138949526e-02,6.83999094278450182e-02,1.67396993698485297e-03,9.15094928192236243e-03,1.86056295924497155e-04,9.52234109879334101e-01,3.84649486620322056e-02,6.23415279242670151e-01,5.44576773373389982e-03,3.45441879826614429e+00,1.66691073661603434e-01,6.43843004662884300e-02,1.12144326361361723e-03
[0.24137931 0.24137931 0.24137931],9.19165845744972954e-01,1.79742497854919921e-02,7.44616615833933182e-03,1.92321390243182730e-04,9.17111730942672621e-01,1.79376615376784683e-02,5.84549287723782562e-01,3.91254359092103703e-03,3.14675487258526321e+00,7.27540044601017455e-02,6.81587250248826548e-02,1.63834336908552734e-03,9.36254424866709949e-03,1.98335537182899079e-04,1.00664401858069774e+00,4.79068053656744944e-02,6.22347109041140545e-01,5.50988911803294412e-03,3.48403573623826679e+00,1.97464189373175114e-01,6.39995174120543825e-02,1.16529739892288716e-03
[0.25287356 0.25287356 0.25287356],9.79415464554970527e-01,1.85828915412986698e-02,7.61177842825307670e-03,2.24105313655979332e-04,9.77578138727461243e-01,1.85460209524688051e-02,5.85442772363656050e-01,3.98848329450991138e-03,3.21240066990775563e+00,7.18885430550319365e-02,6.80337426962762393e-02,1.67666476782609331e-03,9.53678094167816764e-03,2.36763422905464659e-04,1.05582174076460467e+00,5.13550898515764756e-02,6.24577550647524626e-01,5.36016661485825673e-03,3.48666120546966152e+00,2.02195379549638177e-01,6.40563096337503080e-02,1.18430528254331586e-03
[0.26436782 0.26436782 0.26436782],1.03322739079937365e+00,1.93967563190400108e-02,7.80489734103004436e-03,2.30056315830578047e-04,1.03161258445295401e+00,1.93650312231246867e-02,5.84889865546582177e-01,3.87249189279916407e-03,3.24989512947760861e+00,7.17470923280735806e-02,6.74017374717648249e-02,1.70416923572187860e-03,9.77992421587944166e-03,2.47621594348639050e-04,1.12569353332497823e+00,5.44117638294573866e-02,6.22894872493574114e-01,4.81253651418207112e-03,3.57132095219046164e+00,2.04900145874035905e-01,6.38423231104458533e-02,1.19444418456830749e-03
[0.27586207 0.27586207 0.27586207],1.09521116984562350e+00,2.27021521590849880e-02,7.89427690215488073e-03,2.15062686850412587e-04,1.09385008762111413e+00,2.26788102725969214e-02,5.84234058156222980e-01,4.11327180297470923e-03,3.31332206100620530e+00,8.00962444640043458e-02,6.76504484641101966e-02,1.78209919487636623e-03,9.93356734819859748e-03,2.10792285953681751e-04,1.20674803597455993e+00,5.43138241068981398e-02,6.18362967386683282e-01,5.44853467618719098e-03,3.69225126421194139e+00,1.96123643526834979e-01,6.38473988091558392e-02,1.14935429322096509e-03
[0.28735632 0.28735632 0.28735632],1.14151153343829370e+00,2.26176245054575051e-02,8.19122159198996599e-03,2.14744383607962943e-04,1.14038170977043296e+00,2.26049638549152797e-02,5.85581675409173608e-01,3.86460138940765766e-03,3.31586357874381843e+00,7.59584910543224801e-02,6.70830958481152678e-02,1.84325726095299429e-03,1.03593707360260766e-02,2.80763125998924302e-04,1.26786391636767282e+00,6.05491769825495241e-02,6.12949098802658687e-01,5.69123329917811151e-03,3.73555265942569381e+00,2.09568493051651261e-01,6.36646707311483429e-02,1.17841302685085499e-03
[0.29885057 0.29885057 0.29885057],1.19676902576627642e+00,2.51985156582680281e-02,8.61816265776917285e-03,2.36289594642553392e-04,1.19587749169823132e+00,2.51873136136178608e-02,5.87594441188824090e-01,3.40754790407650325e-03,3.34772712919288562e+00,8.18470663057110498e-02,6.62684979931402601e-02,1.81717112754295929e-03,1.09643854564505372e-02,2.90490245727837457e-04,1.33860248080588828e+00,6.18691588999508296e-02,6.15899379829283999e-01,5.79694534714151558e-03,3.79994681180356642e+00,2.05880600673921194e-01,6.33236479868521662e-02,1.29558392935756389e-03
[0.31034483 0.31034483 0.31034483],1.25934076160544883e+00,2.79161328904908961e-02,9.07680050033550859e-03,2.68973807227404103e-04,1.25871477536404641e+00,2.79096014609666078e-02,5.87079438116037688e-01,2.98523759783206289e-03,3.40322082429363704e+00,8.83570344999706353e-02,6.55584582078067718e-02,1.77983208314919919e-03,1.16364096515539344e-02,3.22417917501491855e-04,1.34468659507652566e+00,7.05738878094093192e-02,6.22985116887411317e-01,6.48854038912801377e-03,3.64684809915484243e+00,2.25620079176523491e-01,6.30458125376632539e-02,1.23294784424251170e-03
[0.32183908 0.32183908 0.32183908],1.35946973517180592e+00,2.80819737647959103e-02,1.02554761063492535e-02,3.59807553507439934e-04,1.35911609806469036e+00,2.80798797634514881e-02,5.87392052199128267e-01,3.43125761843196368e-03,3.57222640038099737e+00,8.52088228149628646e-02,6.33494235494478641e-02,1.82637417880776544e-03,1.33446500605769978e-02,4.86162936771270579e-04,1.24601199668634810e+00,8.18099690428862047e-02,6.21505771925468187e-01,6.06619862139999837e-03,3.18776036013854736e+00,2.51820163385548856e-01,6.22711433542800091e-02,1.37164186006364600e-03
[0.33333333 0.33333333 0.33333333],1.23723488722731901e+02,6.61365467480849478e+00,4.08576894233142973e-01,8.41420097615067260e-03,1.23723488722731901e+02,6.61365467480849478e+00,5.29289454143865745e-01,2.32041604045597274e-02,3.70639272296075603e+02,1.98351010804360577e+01,1.90441797635806367e-03,2.79874528598918486e-04,4.28393235847663700e-01,8.15417608327735112e-03,1.25125047817145628e+02,6.37571424595534531e+00,5.22019673508740789e-01,1.90827507680049469e-02,3.74851207180042024e+02,1.91195913034599343e+01,1.91659788617315864e-03,2.94405766869988001e-04
